Year,Name,Gold,Silver,Bronze,Total,GDP,Total Population
1984,Peru,0,1,0,1,70652538143.647,"18,973,705"
1984,Pakistan,1,0,0,1,63588796957.6813,"98,862,614"
1984,Ivory Coast,0,1,0,1,,
1984,Ireland,0,1,0,1,67600990729.7376,"3,529,000"
1984,Iceland,0,0,1,1,7466357146.24641,"239,498"
1984,Syria,0,1,0,1,,"10,100,847"
1984,Thailand,0,1,0,1,91514384420.51,"50,861,767"
1984,Egypt,0,1,0,1,,"48,550,155"
1984,Dominican Republic,0,0,1,1,17359736944.586,"6,233,866"
1984,Colombia,0,1,0,1,124927968733.784,"29,765,372"
1984,Chinese Taipei,0,0,1,1,,
1984,Cameroon,0,0,1,1,19015357944.8201,"9,777,830"
1984,Zambia,0,0,1,1,7803889933.50149,"6,344,722"
1988,Soviet Union,55,31,46,132,,
1988,East Germany,37,35,30,102,,
1988,United States,36,31,27,94,9001231051100.0,"244,498,982"
1988,West Germany,11,14,15,40,,
1988,Bulgaria,10,12,13,35,36292630364.1532,"8,982,025"
1988,South Korea,12,10,11,33,,
1988,China,5,11,12,28,827732227234.598,"1,117,284,539"
1988,Great Britain,5,10,9,24,,
1988,Romania,7,11,6,24,,"22,768,897"
1988,Hungary,11,6,6,23,,"10,442,500"
1988,France,6,4,6,16,1894061230965.3,"57,335,273"
1988,Poland,2,5,9,16,,"37,866,840"
1988,Australia,3,6,5,14,612854394107.81,"16,183,270"
1988,Japan,4,3,7,14,4703605002001.88,"122,613,000"
1988,Italy,6,4,4,14,1749180429217.39,"56,711,103"
1988,New Zealand,3,2,8,13,83664727854.3511,"3,361,313"
1988,Yugoslavia,3,4,5,12,,
1988,Sweden,0,4,7,11,321511422218.61,"8,469,339"
1988,Canada,3,2,5,10,1012322457812.92,"26,894,800"
1988,Kenya,5,2,2,9,21765118854.9204,"21,875,798"
1988,Netherlands,2,2,5,9,533807104249.637,"14,774,965"
1988,Czechoslovakia,3,3,2,8,,
1988,Brazil,1,2,3,6,1189604001251.3,"144,963,227"
1988,Norway,2,3,0,5,255627885399.145,"4,208,729"
1988,Spain,1,1,2,4,873144007866.8,"39,053,881"
1988,Denmark,2,1,1,4,229126577437.179,"5,129,516"
1988,Switzerland,0,2,2,4,432100120508.07,"6,709,508"
1988,Finland,1,1,2,4,167119851165.76,"4,946,633"
1988,Morocco,1,0,2,3,43185385081.897,"23,526,173"
1988,Turkey,1,1,0,2,365299342385.855,"54,356,391"
1988,Argentina,0,1,1,2,203726588308.536,"32,099,320"
1988,Mexico,0,0,2,2,653984125355.572,"81,540,513"
1988,Belgium,0,0,2,2,329971688233.146,"9,884,000"
1988,Jamaica,0,2,0,2,10349125248.5975,"2,422,363"
1988,Djibouti,0,0,1,1,,"414,997"
1988,Austria,1,0,0,1,260194624813.073,"7,599,791"
1988,Virgin Islands,0,1,0,1,,
1988,Chile,0,1,0,1,78761086957.4583,"12,554,615"
1988,Thailand,0,0,1,1,141610545731.926,"54,382,553"
1988,Colombia,0,0,1,1,147727919256.512,"32,768,734"
1988,Costa Rica,0,1,0,1,15237191210.1453,"2,873,985"
1988,Suriname,1,0,0,1,2465914165.6507,"411,262"
1988,Netherlands Antilles,0,1,0,1,,
1988,Mongolia,0,0,1,1,3846754148.22336,"1,992,349"
1988,Indonesia,0,1,0,1,309821137734.337,"175,334,750"
1988,Senegal,0,1,0,1,8057233656.89141,"6,912,268"
1988,Iran,0,1,0,1,,"53,835,124"
1988,Portugal,1,0,0,1,166592605206.496,"9,920,611"
1988,Philippines,0,0,1,1,94520033471.8569,"58,639,099"
1988,Peru,0,1,0,1,58494020190.3879,"20,671,423"
1988,Pakistan,0,0,1,1,79876151981.2353,"110,446,491"
1988,Greece,0,0,1,1,197653949750.543,"10,049,498"
1992,Unified Team,45,38,29,112,,
1992,United States,37,34,37,108,9949782934400.0,"256,514,224"
1992,Germany,33,21,28,82,2792449673947.87,"80,597,764"
1992,China,16,22,16,54,1330126636882.84,"1,182,401,140"
1992,Cuba,14,6,11,31,30274202861.8866,"10,780,322"
1992,Hungary,11,12,7,30,91148741570.0527,"10,383,053"
1992,South Korea,12,5,12,29,,
1992,France,8,5,16,29,1977870042656.88,"58,991,464"
1992,Australia,7,9,11,27,663031927492.837,"17,201,463"
1992,Spain,13,7,2,22,915687331433.623,"39,552,425"
1992,Japan,3,8,11,22,4928660123396.16,"124,378,689"
1992,Great Britain,5,3,12,20,,
1992,Italy,6,5,8,19,1813829506032.43,"56,908,936"
1992,Poland,3,6,10,19,236002802390.66,"38,370,697"
1992,Romania,4,6,8,18,104627669365.45,"22,797,027"
1992,Canada,7,4,7,18,1072894090474.23,"28,544,892"
1992,Bulgaria,3,7,6,16,30906937186.95,"8,658,506"
1992,Netherlands,2,6,7,15,579826010155.08,"15,189,788"
1992,Sweden,1,7,4,12,320231800328.106,"8,718,867"
1992,New Zealand,1,4,5,10,93560795615.5385,"3,493,554"
1992,North Korea,4,0,5,9,,
1992,Kenya,2,4,2,8,22557679339.9403,"24,903,565"
1992,Czechoslovakia,4,2,1,7,,
1992,Norway,2,4,1,7,294888524869.709,"4,286,358"
1992,Turkey,2,2,2,6,396606335166.812,"58,501,681"
1992,Denmark,1,1,4,6,249523747816.308,"5,171,393"
1992,Indonesia,2,2,1,5,404000352342.249,"187,915,916"
1992,Finland,1,2,2,5,156835695262.809,"5,041,039"
1992,Nigeria,0,3,1,4,145693698761.128,"101,837,787"
1992,Jamaica,0,3,1,4,12271176912.1473,"2,540,150"
1992,Latvia,0,2,1,3,,"2,613,118"
1992,Croatia,0,1,2,3,,"4,490,682"
1992,Independent Olympic Participants,0,1,2,3,,
1992,Iran,0,1,2,3,,"61,387,591"
1992,Brazil,2,1,0,3,1325134726637.11,"155,563,895"
1992,Ethiopia,1,0,2,3,9866455689.20831,"50,992,777"
1992,Belgium,0,1,2,3,348785422253.304,"10,045,622"
1992,Morocco,1,1,1,3,49758715929.222,"25,442,561"
1992,Namibia,0,2,0,2,5831191371.21901,"1,538,529"
1992,South Africa,0,2,0,2,225677485788.197,"40,116,478"
1992,Algeria,1,0,1,2,89763654164.5903,"26,493,628"
1992,Mongolia,0,0,2,2,3152092285.02233,"2,210,189"
1992,Lithuania,1,0,1,2,,"3,617,607"
1992,Slovenia,0,0,2,2,28790603318.003,"1,999,210"
1992,Israel,0,1,1,2,129617733787.029,"4,821,920"
1992,Ireland,1,1,0,2,97745997381.35,"3,557,761"
1992,Greece,2,0,0,2,205962855046.137,"10,442,232"
1992,Estonia,1,0,1,2,,"1,528,715"
1992,Austria,0,2,0,2,282867273580.389,"7,914,969"
1992,Switzerland,1,0,0,1,432843636283.607,"7,000,610"
1992,Suriname,0,0,1,1,2452925148.36052,"424,123"
1992,Bahamas,0,0,1,1,,
1992,Thailand,0,0,1,1,194249907286.591,"57,224,800"
1992,Colombia,0,0,1,1,174830361367.88,"35,898,123"
1992,Qatar,0,0,1,1,,"463,511"
1992,Puerto Rico,0,0,1,1,71450561258.2688,"3,585,176"
1992,Philippines,0,0,1,1,100510800776.545,"64,119,361"
1992,Peru,0,1,0,1,70290744141.8621,"22,502,571"
1992,Pakistan,0,0,1,1,95412089507.6067,"122,147,910"
1992,Malaysia,0,0,1,1,117103066250.66,"18,958,826"
1992,Argentina,0,0,1,1,274830720366.623,"33,966,873"
1992,Ghana,0,0,1,1,14271065398.603,"15,651,777"
1992,Chinese Taipei,0,1,0,1,,
1992,Mexico,0,1,0,1,754925835085.174,"87,804,312"
1996,United States,44,32,25,101,11570064189000.0,"269,394,284"
1996,Germany,20,18,27,65,2974922531539.87,"81,890,667"
1996,Russia,26,21,16,63,,"149,563,044"
1996,China,16,22,12,50,1910919239036.1,"1,233,877,275"
1996,Australia,9,9,23,41,777552637827.885,"17,978,388"
1996,France,15,7,15,37,2171138280548.45,"60,130,949"
1996,Italy,13,10,12,35,1955997581478.94,"57,406,046"
1996,South Korea,7,15,5,27,,
1996,Cuba,9,8,8,25,34435290193.9529,"10,962,801"
1996,Ukraine,9,2,12,23,84589906068.8543,"50,813,392"
1996,Canada,3,11,8,22,1213040838740.83,"30,026,324"
1996,Hungary,7,4,10,21,99659709186.8409,"10,259,301"
1996,Romania,4,7,9,20,107662097567.873,"22,622,471"
1996,Netherlands,4,5,10,19,675711369178.015,"15,545,307"
1996,Poland,7,5,5,17,298139820250.058,"38,629,840"
1996,Spain,5,6,6,17,1044886132833.35,"39,820,561"
1996,Bulgaria,3,7,5,15,33676864762.4205,"8,204,087"
1996,Brazil,3,3,9,15,1467161088733.51,"165,745,963"
1996,Belarus,1,6,8,15,26266750331.3539,"10,170,664"
1996,Great Britain,1,8,6,15,,
1996,Japan,3,6,5,14,5217421238313.45,"125,616,709"
1996,Czech Republic,4,3,4,11,143571688505.491,
1996,Kazakhstan,3,4,4,11,59283829183.1558,"16,236,550"
1996,Sweden,2,4,2,8,362772883106.3,"8,892,234"
1996,Greece,4,4,0,8,234808508199.108,"10,689,910"
1996,Kenya,1,4,3,8,25455617585.0165,"27,720,870"
1996,Switzerland,4,3,0,7,460886576236.655,"7,188,778"
1996,Norway,2,2,3,7,348541516288.432,"4,381,278"
1996,Jamaica,1,3,2,6,12112650833.8266,"2,680,135"
1996,Nigeria,2,1,3,6,160182746695.232,"112,744,016"
1996,New Zealand,3,2,1,6,104422242785.469,"3,697,013"
1996,Denmark,4,1,1,6,279219103585.923,"5,262,075"
1996,Belgium,2,2,2,6,383686379912.252,"10,178,934"
1996,Turkey,4,1,1,6,505647959980.986,"62,233,516"
1996,North Korea,2,1,2,5,,
1996,South Africa,3,1,1,5,250233021708.004,"42,778,823"
1996,Indonesia,1,1,2,4,428759443957.882,"200,984,462"
1996,Finland,1,2,1,4,189776780339.204,"5,120,310"
1996,Ireland,3,0,1,4,138755064481.791,"3,636,179"
1996,Yugoslavia,1,1,2,4,,
1996,Slovakia,1,1,1,3,,"5,373,190"
1996,Algeria,2,0,1,3,103062925254.282,"28,837,600"
1996,Ethiopia,2,0,1,3,11721244257.5256,"56,817,472"
1996,Austria,0,1,2,3,314328689139.021,"8,060,851"
1996,Argentina,0,2,1,3,316350941905.026,"35,682,983"
1996,Iran,1,1,1,3,,"63,434,648"
1996,Portugal,1,0,1,2,205309962792.9,"10,099,917"
1996,Armenia,1,1,0,2,3940491000.05925,"3,120,069"
1996,Uzbekistan,0,1,1,2,18623602238.0718,"23,523,857"
1996,Trinidad and Tobago,0,0,2,2,10738002278.5196,"1,250,028"
1996,Thailand,1,0,1,2,199312314682.614,"59,403,003"
1996,Croatia,1,1,0,2,45500387340.8512,"4,445,463"
1996,Slovenia,0,2,0,2,33685428176.1259,"2,007,428"
1996,Georgia,0,0,2,2,6043360994.22095,"4,965,838"
1996,Malaysia,0,1,1,2,140663697153.146,"21,034,542"
1996,Moldova,0,1,1,2,4286715575.55189,"4,333,973"
1996,Morocco,0,0,2,2,55836249260.847,"27,130,551"
1996,Namibia,0,2,0,2,6730205700.92531,"1,702,428"
1996,India,0,0,1,1,772701320024.783,"976,203,090"
1996,Philippines,0,1,0,1,116463102215.322,"70,074,474"
1996,Mongolia,0,0,1,1,3680563574.14778,"2,340,705"
1996,Azerbaijan,0,1,0,1,11189158287.0384,"8,138,330"
1996,Uganda,0,0,1,1,8890982814.5195,"20,388,245"
1996,Bahamas,0,1,0,1,,
1996,Tunisia,0,0,1,1,26242594452.9831,"9,122,126"
1996,Mozambique,0,0,1,1,4227816690.59955,"17,047,073"
1996,Tonga,0,1,0,1,299209506.029536,"97,564"
1996,Syria,1,0,0,1,,"14,865,707"
1996,Burundi,1,0,0,1,1489759038.01604,"5,814,684"
1996,Chinese Taipei,0,1,0,1,,
1996,Costa Rica,1,0,0,1,22660897078.8244,"3,535,531"
1996,Lithuania,0,0,1,1,23637117966.243,"3,500,537"
1996,Ecuador,1,0,0,1,48244078213.3422,"11,600,867"
1996,Latvia,0,1,0,1,15178603564.9892,"2,452,526"
1996,Mexico,0,0,1,1,848741697521.206,"94,125,591"
1996,Israel,0,0,1,1,156653620470.851,"5,513,045"
1996,Hong Kong,1,0,0,1,,"6,388,452"
1996,Puerto Rico,0,0,1,1,84592384061.8031,"3,724,655"
1996,Zambia,0,1,0,1,9088657605.63674,"9,054,053"
2000,United States,37,24,32,93,12968262715400.0,"282,162,411"
2000,Russia,32,28,29,89,,"148,020,170"
2000,China,28,16,14,58,2639112188146.35,"1,271,503,410"
2000,Australia,16,25,17,58,900165537707.341,"18,835,722"
2000,Germany,13,17,26,56,3176872812245.88,"82,183,670"
2000,France,13,14,11,38,2406838087998.32,"61,286,728"
2000,Italy,13,8,13,34,2101931939042.18,"57,784,371"
2000,Cuba,11,11,7,29,40532156423.1685,"11,146,712"
2000,Great Britain,11,10,7,28,,
2000,South Korea,8,10,10,28,,
2000,Romania,11,6,9,26,122225415551.961,"22,262,406"
2000,Netherlands,12,9,4,25,758356688950.764,"15,930,182"
2000,Ukraine,3,10,10,23,102754675134.835,"49,013,834"
2000,Japan,5,8,5,18,5377007127014.02,"126,771,901"
2000,Belarus,3,3,11,17,31611178883.8695,"10,033,392"
2000,Hungary,8,6,3,17,116318944982.828,"10,147,425"
2000,Poland,6,5,3,14,337018207143.568,"38,654,162"
2000,Canada,3,3,8,14,1406913998529.75,"31,099,560"
2000,Bulgaria,5,6,2,13,35524705563.8283,"7,908,665"
2000,Greece,4,6,3,13,272175455326.753,"10,925,795"
2000,Sweden,4,5,3,12,411654200414.867,"8,924,354"
2000,Brazil,0,6,6,12,1607729271032.29,"175,969,492"
2000,Spain,3,3,5,11,1229910878223.45,"40,589,004"
2000,Norway,4,3,3,10,379993390464.635,"4,492,401"
2000,Jamaica,0,6,3,9,12763085337.6409,"2,810,680"
2000,Switzerland,1,6,2,9,494345122120.216,"7,277,251"
2000,Czech Republic,2,3,3,8,158841359810.454,
2000,Ethiopia,4,1,3,8,14374794288.769,"62,891,069"
2000,Kenya,2,3,2,7,27337613463.7899,"30,922,122"
2000,Kazakhstan,3,4,0,7,83311937130.6468,"15,687,251"
2000,Georgia,0,0,6,6,6998485720.69797,"4,818,805"
2000,Denmark,2,3,1,6,302077924103.075,"5,337,416"
2000,Mexico,1,2,3,6,911151773828.818,"99,775,434"
2000,Indonesia,1,3,2,6,491078136159.837,"214,090,575"
2000,Turkey,3,0,2,5,521387961745.149,"65,978,547"
2000,Slovakia,1,3,1,5,,"5,400,316"
2000,Morocco,0,1,4,5,63656943581.251,"28,491,421"
2000,Lithuania,2,0,3,5,27594931858.1505,"3,489,407"
2000,South Africa,0,2,3,5,284356442826.556,"45,143,676"
2000,Algeria,1,1,3,5,120125920931.173,"30,634,947"
2000,Belgium,0,2,3,5,422530458033.305,"10,263,618"
2000,Chinese Taipei,0,1,4,5,,
2000,Argentina,0,2,2,4,258281789127.305,"37,335,675"
2000,Uzbekistan,1,1,2,4,21843958958.3906,"25,041,820"
2000,Iran,3,0,1,4,,"66,482,211"
2000,North Korea,0,1,3,4,,
2000,Finland,2,1,1,4,218392295141.416,"5,168,595"
2000,New Zealand,1,0,3,4,122735467606.099,"3,802,400"
2000,Nigeria,1,2,0,3,206684534275.905,"125,580,732"
2000,Austria,2,1,0,3,346387257223.224,"8,113,392"
2000,Azerbaijan,2,0,1,3,16057770026.7758,"8,463,076"
2000,Thailand,1,0,2,3,239058711719.124,"61,146,322"
2000,Bahamas,2,0,1,3,,
2000,Estonia,1,0,2,3,15927040858.0414,"1,379,671"
2000,Yugoslavia,1,1,1,3,,
2000,Latvia,1,1,1,3,18720689361.2743,"2,368,427"
2000,Costa Rica,0,0,2,2,26144234370.1645,"3,882,234"
2000,Croatia,1,0,1,2,50932201746.0895,"4,390,263"
2000,Portugal,0,0,2,2,227408192515.552,"10,361,404"
2000,Saudi Arabia,0,1,1,2,364070454426.667,"21,361,821"
2000,Moldova,0,1,1,2,4837680703.66857,"4,180,215"
2000,Slovenia,2,0,0,2,39483849698.5294,"2,011,242"
2000,Trinidad and Tobago,0,1,1,2,13942348940.4975,"1,261,135"
2000,Macedonia,0,0,1,1,,
2000,Vietnam,0,1,0,1,69037326105.908,"79,451,866"
2000,Ireland,0,1,0,1,187128802633.068,"3,822,196"
2000,Uruguay,0,1,0,1,26512908469.9633,"3,219,796"
2000,Armenia,0,0,1,1,5345387542.93892,"3,100,044"
2000,Kuwait,0,0,1,1,76154795184.9267,"1,972,225"
2000,Kyrgyzstan,0,0,1,1,,"4,937,123"
2000,Mozambique,1,0,0,1,5684162363.79798,"18,498,198"
2000,Barbados,0,0,1,1,4056812032.13438,"274,880"
2000,Sri Lanka,0,1,0,1,35079926055.4816,"19,041,167"
2000,Iceland,0,0,1,1,11020792658.5685,"281,038"
2000,Cameroon,1,0,0,1,19332618830.0545,"15,836,469"
2000,Chile,0,0,1,1,153937081014.428,"15,174,572"
2000,Colombia,1,0,0,1,200646110923.516,"40,319,332"
2000,Israel,0,0,1,1,174245451306.842,"6,112,320"
2000,Qatar,0,0,1,1,40139043103.6418,"639,897"
2000,India,0,0,1,1,950312739671.573,"1,049,692,922"
2004,United States,36,39,26,101,14741688498100.0,"292,805,298"
2004,Russia,28,26,36,90,,"144,966,251"
2004,China,32,17,14,63,4015044510537.74,"1,299,116,861"
2004,Australia,17,16,17,50,1023370338682.13,"19,777,611"
2004,Germany,13,16,20,49,3332692329600.37,"82,487,209"
2004,Japan,16,9,12,37,5752853952769.92,"127,668,360"
2004,France,11,9,13,33,2598956033979.84,"62,708,105"
2004,Italy,10,11,11,32,2202038561569.49,"58,716,001"
2004,Great Britain,9,9,12,30,,
2004,South Korea,9,12,9,30,,
2004,Cuba,9,7,11,27,55451844706.1798,"11,260,208"
2004,Netherlands,4,9,9,22,817858911939.74,"16,266,339"
2004,Ukraine,8,5,9,22,139607969151.671,"47,342,447"
2004,Spain,3,11,6,20,1414736959945.11,"43,000,157"
2004,Romania,8,5,6,19,156187254733.537,"21,573,639"
2004,Hungary,8,6,3,17,137506649850.561,"10,072,608"
2004,Greece,6,6,4,16,321534411242.933,"10,999,476"
2004,Belarus,2,5,6,13,45382541170.3599,"9,855,646"
2004,Canada,3,6,3,12,1563902678608.51,"32,134,761"
2004,Bulgaria,2,1,9,12,45520779748.2063,"7,665,632"
2004,Turkey,3,3,5,11,704919602071.452,"69,583,061"
2004,Poland,3,2,5,10,403236825523.165,"38,574,205"
2004,Brazil,5,2,3,10,1845117253979.08,"185,755,950"
2004,Czech Republic,1,3,5,9,196523032214.994,
2004,Denmark,2,1,5,8,331090561914.626,"5,400,727"
2004,Thailand,3,1,4,8,297864826688.794,"63,442,956"
2004,Kazakhstan,1,4,3,8,121197091344.948,"15,988,620"
2004,Sweden,4,2,1,7,473150714176.123,"9,046,267"
2004,Kenya,1,4,2,7,33349876084.3647,"34,764,895"
2004,Ethiopia,2,3,2,7,19795942246.2104,"69,811,259"
2004,Austria,2,4,1,7,379958397501.957,"8,263,235"
2004,Iran,2,2,2,6,,"69,600,627"
2004,Argentina,2,0,4,6,360465082297.96,"38,945,354"
2004,Norway,5,0,1,6,418934364461.602,"4,593,414"
2004,Slovakia,2,2,2,6,,"5,405,580"
2004,South Africa,1,3,2,6,340284178369.573,"47,658,777"
2004,New Zealand,3,2,0,5,141870639750.14,"4,008,166"
2004,North Korea,0,4,1,5,,
2004,Switzerland,1,1,3,5,545008791663.243,"7,415,374"
2004,Uzbekistan,2,1,2,5,28114501576.7622,"26,292,535"
2004,Jamaica,2,1,2,5,13918122244.4502,"2,852,841"
2004,Azerbaijan,1,0,4,5,33268154327.4079,"8,737,808"
2004,Chinese Taipei,2,2,1,5,,
2004,Croatia,1,2,2,5,61008204110.5857,"4,441,435"
2004,Egypt,1,1,3,5,,"71,310,598"
2004,Latvia,0,4,0,4,27237668361.0711,"2,283,318"
2004,Mexico,0,3,1,4,1026912659604.72,"105,230,503"
2004,Indonesia,1,1,2,4,602626663572.804,"227,321,651"
2004,Slovenia,0,1,3,4,46561862055.1658,"2,016,922"
2004,Georgia,2,2,0,4,9860180665.4323,"4,742,862"
2004,Estonia,0,1,2,3,21932809902.7181,"1,340,354"
2004,Belgium,1,0,2,3,461812130895.081,"10,413,347"
2004,Chile,2,0,1,3,193127635486.362,"15,828,679"
2004,Lithuania,1,2,0,3,37605683774.4175,"3,384,473"
2004,Zimbabwe,1,1,1,3,11323673004.4172,"13,087,806"
2004,Portugal,0,2,1,3,234713145002.77,"10,557,290"
2004,Morocco,2,1,0,3,78544623310.6445,"29,903,483"
2004,Finland,0,2,0,2,247575988035.367,"5,220,193"
2004,Venezuela,0,0,2,2,,"25,926,640"
2004,Bahamas,1,0,1,2,,
2004,Colombia,0,0,2,2,245554885937.816,"42,012,843"
2004,Nigeria,0,0,2,2,273634239781.634,"140,534,504"
2004,Serbia and Montenegro,0,2,0,2,,
2004,Israel,1,0,1,2,201256400109.656,"6,615,265"
2004,Cameroon,1,0,0,1,22784042334.906,"17,678,398"
2004,Mongolia,0,0,1,1,5702204050.40528,"2,574,146"
2004,United Arab Emirates,1,0,0,1,282684947637.849,"3,819,555"
2004,Syria,0,0,1,1,,"18,082,580"
2004,Trinidad and Tobago,0,0,1,1,20709938758.2907,"1,283,298"
2004,India,0,1,0,1,1290107534501.3,"1,121,076,540"
2004,Dominican Republic,1,0,0,1,44523614464.9785,"8,730,936"
2004,Hong Kong,0,1,0,1,,"6,847,993"
2004,Paraguay,0,1,0,1,21895565804.2224,"5,825,838"
2004,Eritrea,0,0,1,1,2179437333.32658,"4,551,365"
2008,United States,36,39,37,112,14992052727000.0,"304,093,966"
2008,China,48,22,30,100,6087164527421.24,"1,326,206,773"
2008,Russia,24,13,23,60,,"143,359,355"
2008,Great Britain,19,13,19,51,,
2008,Australia,14,15,17,46,1146138465603.81,"21,040,262"
2008,France,7,16,20,43,2642609548930.36,"64,250,843"
2008,Germany,16,11,14,41,3417094562648.95,"82,065,369"
2008,South Korea,13,11,8,32,,
2008,Cuba,3,10,17,30,64328000000.0,"11,258,336"
2008,Italy,8,9,10,27,2125058244242.92,"60,091,305"
2008,Japan,9,8,8,25,5700098114744.41,"127,826,531"
2008,Ukraine,7,4,11,22,136013155905.036,"46,155,640"
2008,Canada,3,9,8,20,1613542812589.39,"33,393,043"
2008,Spain,5,11,3,19,1431616749640.29,"45,910,365"
2008,Brazil,3,4,10,17,2208871646202.82,"194,195,572"
2008,Netherlands,7,5,4,16,846554894931.084,"16,410,055"
2008,Kenya,6,4,6,16,40000088346.8041,"39,310,323"
2008,Belarus,3,4,7,14,58665088956.0255,"9,712,051"
2008,Jamaica,5,4,2,11,13200286270.4683,"2,847,477"
2008,Poland,4,5,2,11,479321460551.189,"38,556,061"
2008,Hungary,3,5,2,10,130922638689.071,"10,027,594"
2008,Norway,3,5,1,9,429130952709.224,"4,770,097"
2008,Romania,4,1,4,9,166225180150.414,"20,888,685"
2008,New Zealand,3,2,4,9,146583831538.331,"4,171,974"
2008,Kazakhstan,2,3,4,9,148047348240.643,"16,645,324"
2008,Georgia,3,2,2,7,11638500813.5555,"4,823,790"
2008,Denmark,2,2,3,7,321995279401.502,"5,491,488"
2008,Czech Republic,3,3,1,7,207477857918.919,
2008,Ethiopia,4,2,1,7,29933790334.3418,"77,695,164"
2008,Switzerland,2,1,4,7,583782977866.405,"7,700,222"
2008,Slovakia,3,3,0,6,,"5,415,203"
2008,Thailand,2,2,2,6,341105009515.333,"65,430,431"
2008,Argentina,2,0,4,6,423627422092.49,"40,531,409"
2008,Azerbaijan,1,1,4,6,52902703376.1056,"9,120,355"
2008,North Korea,2,2,2,6,,
2008,Indonesia,1,1,4,6,755094160363.073,"240,064,968"
2008,Sweden,0,4,1,5,488909078695.423,"9,273,133"
2008,Croatia,0,2,3,5,59865977191.7061,"4,434,262"
2008,Nigeria,0,3,2,5,363359886203.409,"157,143,322"
2008,Turkey,1,1,3,5,771901768870.083,"73,020,415"
2008,Bulgaria,1,1,3,5,50610058210.3696,"7,465,356"
2008,Lithuania,0,3,2,5,37120517693.8622,"3,195,990"
2008,Armenia,0,1,4,5,9260284937.79782,"3,076,467"
2008,Slovenia,1,2,2,5,48013606745.4803,"2,056,915"
2008,Uzbekistan,0,1,3,4,39332770928.9426,"27,746,697"
2008,Mongolia,2,2,0,4,7189481824.07288,"2,702,400"
2008,Mexico,2,0,2,4,1057801295584.05,"110,876,639"
2008,Zimbabwe,1,3,0,4,12041655200.0,"13,119,805"
2008,Chinese Taipei,1,1,2,4,,
2008,Finland,1,1,2,4,247799815768.477,"5,304,716"
2008,Greece,0,2,1,3,299361576558.217,"10,996,346"
2008,Latvia,1,1,1,3,23757368290.0955,"2,197,506"
2008,Colombia,0,2,1,3,286103648654.545,"43,168,865"
2008,Kyrgyzstan,0,1,2,3,,"5,298,684"
2008,Ireland,0,1,2,3,222148757313.006,"4,517,709"
2008,Serbia,0,1,2,3,41819468691.8251,"7,307,359"
2008,India,1,0,2,3,1675615312693.42,"1,188,680,299"
2008,Austria,0,1,2,3,391892746544.69,"8,406,796"
2008,Dominican Republic,1,1,0,2,53982886258.2205,"9,219,827"
2008,Trinidad and Tobago,1,1,0,2,22157948396.2042,"1,308,122"
2008,Egypt,0,0,2,2,,"77,777,097"
2008,Belgium,2,0,0,2,483548031197.108,"10,692,800"
2008,Estonia,1,1,0,2,19490936349.1753,"1,311,467"
2008,Tajikistan,0,1,1,2,5642178579.58438,"7,142,391"
2008,Bahamas,0,1,1,2,,
2008,Iran,1,0,1,2,,"73,119,798"
2008,Algeria,0,1,1,2,161207268655.392,"34,619,260"
2008,Morocco,0,1,1,2,93216746661.5977,"31,474,893"
2008,Portugal,1,1,0,2,238303443425.21,"10,635,102"
2008,Cameroon,1,0,0,1,26143818509.6421,"19,746,892"
2008,Tunisia,1,0,0,1,44050929160.2627,"10,307,653"
2008,Venezuela,0,0,1,1,,"27,819,427"
2008,Togo,0,0,1,1,3426022205.75557,"5,850,173"
2008,Chile,0,1,0,1,218537551220.071,"16,441,035"
2008,Vietnam,0,1,0,1,115931749697.241,"88,230,616"
2008,Malaysia,0,1,0,1,255016609232.871,"27,924,658"
2008,Sudan,0,1,0,1,65634109236.7736,"33,173,036"
2008,Ecuador,0,1,0,1,69555367000.0,"14,488,773"
2008,South Africa,0,1,0,1,375348316917.75,"50,394,494"
2008,Mauritius,0,0,1,1,10003670690.3497,"1,268,899"
2008,Singapore,0,1,0,1,239809387605.427,"5,046,845"
2008,Samoa,0,1,0,1,643046733.391126,"189,503"
2008,Iceland,0,1,0,1,13683689802.2771,"317,363"
2008,Panama,1,0,0,1,29440300000.0,"3,374,475"
2008,Israel,0,0,1,1,233732926323.391,"7,115,836"
2008,Moldova,0,0,1,1,6974960345.3712,"3,933,442"
2008,Afghanistan,0,0,1,1,15856574731.4411,"27,703,539"
2012,United States,46,28,30,104,16242526401300.0,"313,877,662"
2012,China,38,31,22,91,8317255434071.39,"1,355,524,732"
2012,Russia,20,20,28,68,,"143,645,489"
2012,Great Britain,29,17,19,65,,
2012,Germany,11,20,13,44,3654924349507.01,"81,862,920"
2012,Japan,7,14,17,38,5916317345749.24,"127,250,763"
2012,France,11,11,13,35,2750675573588.84,"65,634,194"
2012,Australia,8,15,12,35,1284254470331.22,"22,563,165"
2012,South Korea,13,9,8,30,,
2012,Italy,8,9,11,28,2043486014884.01,"61,303,175"
2012,Netherlands,6,6,8,20,861816072387.648,"16,713,096"
2012,Ukraine,5,4,10,19,134331493522.859,"45,491,540"
2012,Spain,4,10,5,19,1371017708643.57,"46,444,355"
2012,Hungary,8,4,6,18,139309419213.17,"9,944,323"
2012,Canada,2,6,10,18,1782827583707.39,"34,974,489"
2012,Brazil,3,5,9,17,2423271865109.14,"201,350,896"
2012,Cuba,5,3,7,15,70729490571.2058,"11,261,613"
