Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Country,Code,Year,GDP-Growth,GDP-Per-Capita,GDP,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
140,ARM,Armenia,Yerevan,Asia,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377,29743,93.4831,0.9962,0.03,Armenia,ARM,2000,13.1863005304562,1761.84123383193,5345387542.93892,Australia,Sydney,Armenia,ARM,0,0,1
140,ARM,Armenia,Yerevan,Asia,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377,29743,93.4831,0.9962,0.03,Armenia,ARM,2008,2.19999999752649,3218.37270660563,9260284937.79782,China,Beijing,Armenia,ARM,0,1,4
140,ARM,Armenia,Yerevan,Asia,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377,29743,93.4831,0.9962,0.03,Armenia,ARM,2012,3.60000000058993,3819.2177873036,11123101341.3964,Great Britain,London,Armenia,ARM,0,1,1
55,AUS,Australia,Canberra,Oceania,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3.4032,1.0099,0.33,Australia,AUS,1960,1.295678127893,19245.4102716598,206734197138.169,Italy,Rome,Australia,AUS,8,8,6
55,AUS,Australia,Canberra,Oceania,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3.4032,1.0099,0.33,Australia,AUS,1964,2.38251937410845,21877.3491545256,254892994999.378,Japan,Tokyo,Australia,AUS,6,2,10
55,AUS,Australia,Canberra,Oceania,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3.4032,1.0099,0.33,Australia,AUS,1968,7.17193772970082,26120.4008915736,326687853950.911,Mexico,Mexico City,Australia,AUS,5,7,5
55,AUS,Australia,Canberra,Oceania,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3.4032,1.0099,0.33,Australia,AUS,1972,4.10349737512928,27483.4553721051,377155458071.398,West Germany,Munich,Australia,AUS,8,7,2
55,AUS,Australia,Canberra,Oceania,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3.4032,1.0099,0.33,Australia,AUS,1976,0.896975217393006,28547.7618474547,409888764605.755,Canada,Montreal,Australia,AUS,0,1,4
55,AUS,Australia,Canberra,Oceania,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3.4032,1.0099,0.33,Australia,AUS,1980,3.32863134013712,30912.0015044057,469182358833.87,Soviet Union,Moscow,Australia,AUS,2,2,5
55,AUS,Australia,Canberra,Oceania,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3.4032,1.0099,0.33,Australia,AUS,1984,4.03673285618915,32796.674130603,525350244893.651,United States,Los Angeles,Australia,AUS,4,8,12
55,AUS,Australia,Canberra,Oceania,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3.4032,1.0099,0.33,Australia,AUS,1988,3.56894443347744,35912.733831493,612854394107.81,South Korea,Seoul,Australia,AUS,3,6,5
55,AUS,Australia,Canberra,Oceania,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3.4032,1.0099,0.33,Australia,AUS,1992,3.98080538216495,37134.2440488847,663031927492.837,Spain,Barcelona,Australia,AUS,7,9,11
55,AUS,Australia,Canberra,Oceania,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3.4032,1.0099,0.33,Australia,AUS,1996,4.57664094272158,41555.9103109339,777552637827.885,United States,Atlanta,Australia,AUS,9,9,23
55,AUS,Australia,Canberra,Oceania,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3.4032,1.0099,0.33,Australia,AUS,2000,4.00143112053115,45806.6874475783,900165537707.341,Australia,Sydney,Australia,AUS,16,25,17
55,AUS,Australia,Canberra,Oceania,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3.4032,1.0099,0.33,Australia,AUS,2004,2.79452922100933,49443.1965891288,1023370338682.13,Greece,Athens,Australia,AUS,17,16,17
55,AUS,Australia,Canberra,Oceania,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3.4032,1.0099,0.33,Australia,AUS,2008,2.06752009293855,52022.1255961876,1146138465603.81,China,Beijing,Australia,AUS,14,15,17
55,AUS,Australia,Canberra,Oceania,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3.4032,1.0099,0.33,Australia,AUS,2012,2.56870704342289,54705.7270373791,1284254470331.22,Great Britain,London,Australia,AUS,8,15,12
99,AUT,Austria,Vienna,Europe,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,83871,106.5877,1.002,0.11,Austria,AUT,1960,2.64867511295262,13953.9500033393,99489765786.6089,Italy,Rome,Austria,AUT,1,1,0
99,AUT,Austria,Vienna,Europe,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,83871,106.5877,1.002,0.11,Austria,AUT,1968,6.32114254507779,19573.8668769248,146159747322.549,Mexico,Mexico City,Austria,AUT,0,2,2
99,AUT,Austria,Vienna,Europe,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,83871,106.5877,1.002,0.11,Austria,AUT,1972,3.94213813939555,23410.8902742626,177900244807.952,West Germany,Munich,Austria,AUT,0,1,2
99,AUT,Austria,Vienna,Europe,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,83871,106.5877,1.002,0.11,Austria,AUT,1976,-0.210653450960095,25703.1373788812,194374964316.0,Canada,Montreal,Austria,AUT,0,0,1
99,AUT,Austria,Vienna,Europe,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,83871,106.5877,1.002,0.11,Austria,AUT,1980,2.01125436553259,28018.5408766777,212216351195.68,Soviet Union,Moscow,Austria,AUT,1,2,1
99,AUT,Austria,Vienna,Europe,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,83871,106.5877,1.002,0.11,Austria,AUT,1984,2.30139280099837,30285.9331896605,229258275343.493,United States,Los Angeles,Austria,AUT,1,1,1
